Date,DJI,^FTSE,^GSPC,^N225
2000-01-03,,,1455.219971,
2000-01-04,10997.900391,6665.899902,1399.420044,19002.859375
2000-01-05,11122.700195,6535.899902,1402.109985,18542.550781
2000-01-06,11253.299805,6447.200195,1403.449951,18168.269531
2000-01-07,11253.299805,6504.799805,1441.469971,18193.410156
2000-01-10,11253.299805,6607.700195,1457.599976,18193.410156
2000-01-11,11511.099609,6518.899902,1438.560059,18850.919922
2000-01-12,11551.099609,6532.799805,1432.25,18677.419922
2000-01-13,11582.400391,6531.5,1449.680054,18833.289063
2000-01-14,11582.400391,6658.200195,1465.150024,18956.550781
2000-01-17,11582.400391,6669.5,1465.150024,19437.230469
2000-01-18,11560.700195,6504.600098,1455.140015,19196.570313
2000-01-19,11489.400391,6445.5,1455.900024,18897.75
2000-01-20,11351.299805,6348.700195,1445.569946,19008.009766
2000-01-21,11251.700195,6346.299805,1441.359985,18878.089844
2000-01-24,11251.700195,6379.799805,1401.530029,19056.710938
2000-01-25,11251.700195,6274.100098,1410.030029,18895.529297
2000-01-26,11251.700195,6375.600098,1404.089966,19111.189453
2000-01-27,11028.0,6441.0,1398.560059,19209.720703
2000-01-28,10738.900391,6375.600098,1360.160034,19434.779297
2000-01-31,10940.5,6268.5,1394.459961,19539.699219
2000-02-01,11041.099609,6290.899902,1409.280029,19423.380859
2000-02-02,11003.200195,6302.799805,1409.119995,19578.910156
2000-02-03,11013.5,6324.299805,1424.969971,19786.419922
2000-02-04,10963.799805,6185.0,1424.369995,19763.130859
2000-02-07,10963.799805,6118.600098,1424.23999,19945.429688
2000-02-08,10957.599609,6285.799805,1441.719971,19868.880859
2000-02-09,10699.200195,6315.399902,1411.709961,20007.769531
2000-02-10,10643.599609,6279.799805,1416.829956,19710.019531
2000-02-11,10425.200195,6193.299805,1387.119995,19710.019531
2000-02-14,10519.799805,6068.600098,1389.939941,19556.460938
2000-02-15,10718.099609,6005.200195,1402.050049,19367.830078
2000-02-16,10561.400391,6147.399902,1387.670044,19599.179688
2000-02-17,10561.400391,6209.299805,1388.26001,19791.400391
2000-02-18,10219.5,6165.0,1346.089966,19789.029297
2000-02-21,10219.5,6081.600098,1346.089966,19543.75
2000-02-22,10304.799805,6014.700195,1352.170044,19390.580078
2000-02-23,10304.799805,6144.100098,1360.689941,19519.550781
2000-02-24,10092.599609,6086.700195,1353.430054,19571.439453
2000-02-25,10092.599609,6198.0,1333.359985,19817.880859
2000-02-28,10038.700195,6099.600098,1348.050049,19720.099609
2000-02-29,10038.700195,6232.600098,1366.420044,19959.519531
2000-03-01,10038.700195,6364.899902,1379.189941,20081.669922
2000-03-02,10038.700195,6432.100098,1381.76001,20065.109375
2000-03-03,10038.700195,6487.5,1409.170044,19927.539063
2000-03-06,10170.5,6567.799805,1391.280029,19796.349609
2000-03-07,9796.040039,6466.5,1355.619995,19944.240234
2000-03-08,9856.540039,6411.200195,1366.699951,19766.800781
2000-03-09,9856.540039,6532.100098,1401.689941,19662.330078
2000-03-10,9928.830078,6568.700195,1395.069946,19750.400391
2000-03-13,9928.830078,6466.899902,1383.619995,19189.929688
2000-03-14,9928.830078,6487.100098,1359.150024,19141.839844
2000-03-15,10131.400391,6447.0,1392.140015,19078.599609
2000-03-16,10630.599609,6557.299805,1458.469971,19253.230469
2000-03-17,10595.200195,6558.0,1464.469971,19566.320313
2000-03-20,10680.200195,6624.5,1456.630005,19566.320313
2000-03-21,10907.299805,6617.899902,1493.869995,19602.359375
2000-03-22,10907.299805,6609.600098,1500.640015,19733.589844
2000-03-23,10907.299805,6594.600098,1527.349976,19704.599609
2000-03-24,11112.700195,6738.5,1527.459961,19958.080078
2000-03-27,11025.900391,6687.200195,1523.859985,20281.029297
2000-03-28,10936.099609,6650.100098,1507.72998,20374.339844
2000-03-29,10936.099609,6598.799805,1508.52002,20706.650391
2000-03-30,10936.099609,6445.200195,1487.920044,20441.5
2000-03-31,10921.900391,6540.200195,1498.579956,20337.320313
2000-04-03,11221.900391,6462.100098,1505.969971,20726.990234
2000-04-04,11164.799805,6427.0,1494.72998,20594.929688
2000-04-05,11033.900391,6379.299805,1487.369995,20462.769531
2000-04-06,11114.299805,6451.100098,1501.339966,20223.609375
2000-04-07,11111.5,6569.899902,1516.349976,20252.810547
2000-04-10,11186.599609,6533.399902,1504.459961,20619.060547
2000-04-11,11287.099609,6379.200195,1500.589966,20522.519531
2000-04-12,11125.099609,6350.799805,1467.170044,20833.210938
2000-04-13,11125.099609,6357.0,1440.51001,20526.419922
2000-04-14,10305.799805,6178.100098,1356.560059,20434.679688
2000-04-17,10582.5,5994.600098,1401.439941,19008.640625
2000-04-18,10582.5,6074.0,1441.609985,18969.519531
2000-04-19,10675.0,6184.899902,1427.469971,19086.619141
2000-04-20,10844.099609,6241.200195,1434.540039,18959.320313
2000-04-21,10844.099609,6241.200195,1434.540039,18252.679688
